product_name,product_category,product_price,product_quantity,product_brand,product_color,product_weight,product_dimensions,product_release_date,Product ID
nec,toys,936.34,591,Nike,Teal,31.76,error: Field 'length' not found,12/17/2014,1
nisl venenatis,clothing,89.1,642,Nike,Turquoise,41.82,error: Field 'length' not found,8/14/2022,2
dui,home decor,56.08,95,Samsung,Orange,80.23,error: Field 'length' not found,11/7/2010,3
est phasellus,beauty,428.79,62,Samsung,Orange,45.05,error: Field 'length' not found,2/2/2020,4
rhoncus,automotive,772.73,896,Nike,Blue,83.29,error: Field 'length' not found,1/24/2011,5
quam,automotive,458.29,389,Nike,Goldenrod,47.15,error: Field 'length' not found,12/28/2013,6
pulvinar nulla,toys,494.31,680,Nike,Green,86.48,error: Field 'length' not found,1/15/2010,7
quis,toys,560.21,590,Apple,Fuscia,70.11,error: Field 'length' not found,8/27/2016,8
id,toys,999.49,784,Apple,Green,13.39,error: Field 'length' not found,10/11/2020,9
condimentum curabitur,home decor,856.34,517,Nike,Maroon,93.09,error: Field 'length' not found,8/18/2019,10
ipsum praesent,clothing,224.23,89,Nike,Purple,50.64,error: Field 'length' not found,10/31/2017,11
libero convallis,clothing,649.82,769,Samsung,Yellow,14.26,error: Field 'length' not found,10/17/2016,12
donec,health,878.3,282,Nike,Maroon,11.28,error: Field 'length' not found,6/23/2013,13
duis,pets,584.1,299,Apple,Puce,25.54,error: Field 'length' not found,3/23/2010,14
libero non,sports,444.13,311,Samsung,Red,53.94,error: Field 'length' not found,2/28/2018,15
pulvinar,health,225.72,316,Samsung,Fuscia,3.72,error: Field 'length' not found,3/21/2010,16
pellentesque ultrices,food,46.95,390,Nike,Indigo,17.96,error: Field 'length' not found,6/22/2020,17
condimentum neque,toys,878.08,99,Nike,Green,14.2,error: Field 'length' not found,11/8/2013,18
vestibulum rutrum,food,579.18,385,Nike,Maroon,94.14,error: Field 'length' not found,11/18/2011,19
dolor,electronics,856.42,760,Apple,Fuscia,46.04,error: Field 'length' not found,12/29/2021,20
ipsum,beauty,931.56,868,Samsung,Yellow,33.33,error: Field 'length' not found,12/31/2012,21
tempor turpis,books,878.63,993,Nike,Indigo,86.13,error: Field 'length' not found,9/6/2018,22
vel lectus,clothing,575.46,105,Nike,Puce,81.23,error: Field 'length' not found,7/28/2021,23
pharetra,books,738.91,727,Apple,Maroon,56.07,error: Field 'length' not found,9/17/2010,24
non,home decor,661.19,28,Nike,Teal,37.68,error: Field 'length' not found,9/7/2017,25
lectus,electronics,348.68,907,Nike,Red,71.23,error: Field 'length' not found,6/12/2019,26
massa id,food,333.72,299,Nike,Red,62.58,error: Field 'length' not found,10/26/2020,27
ultrices posuere,sports,227.25,191,Apple,Purple,80.9,error: Field 'length' not found,5/3/2020,28
mauris viverra,pets,529.97,496,Apple,Orange,54.71,error: Field 'length' not found,10/17/2017,29
curabitur,food,406.5,417,Apple,Mauv,74.24,error: Field 'length' not found,6/7/2021,30
sem duis,automotive,577.95,361,Apple,Blue,79.81,error: Field 'length' not found,1/10/2018,31
bibendum morbi,food,294.21,351,Samsung,Pink,59.47,error: Field 'length' not found,4/10/2014,32
condimentum curabitur,automotive,459.45,821,Nike,Maroon,93.24,error: Field 'length' not found,5/21/2014,33
aliquet,sports,519.8,751,Apple,Mauv,66.83,error: Field 'length' not found,8/13/2012,34
vestibulum proin,electronics,861.9,412,Nike,Aquamarine,70.11,error: Field 'length' not found,11/26/2018,35
velit id,electronics,313.06,295,Nike,Puce,64.76,error: Field 'length' not found,11/4/2020,36
magnis dis,food,994.8,285,Apple,Puce,19.78,error: Field 'length' not found,5/26/2012,37
tristique fusce,health,30.91,482,Nike,Khaki,44.18,error: Field 'length' not found,12/23/2010,38
massa volutpat,pets,858.25,649,Nike,Aquamarine,59.71,error: Field 'length' not found,4/17/2015,39
mattis,clothing,865.11,745,Apple,Goldenrod,42.46,error: Field 'length' not found,8/16/2014,40
faucibus,electronics,315.88,519,Apple,Orange,0.92,error: Field 'length' not found,11/11/2020,41
ante,beauty,434.46,814,Nike,Orange,54.77,error: Field 'length' not found,6/14/2010,42
id,toys,568.34,242,Samsung,Pink,68.18,error: Field 'length' not found,3/2/2019,43
curae nulla,books,199.34,232,Samsung,Mauv,31.71,error: Field 'length' not found,1/10/2017,44
amet,pets,538.38,422,Samsung,Violet,29.99,error: Field 'length' not found,10/6/2017,45
amet sapien,home decor,638.28,503,Samsung,Purple,23.49,error: Field 'length' not found,1/29/2019,46
donec semper,home decor,368.57,245,Samsung,Crimson,28.9,error: Field 'length' not found,11/1/2014,47
odio odio,beauty,210.15,405,Samsung,Aquamarine,55.81,error: Field 'length' not found,7/7/2016,48
cubilia,clothing,656.84,444,Apple,Mauv,60.79,error: Field 'length' not found,8/24/2013,49
potenti,home decor,695.74,923,Apple,Green,50.84,error: Field 'length' not found,6/25/2011,50
eu,pets,533.01,501,Nike,Crimson,4.24,error: Field 'length' not found,12/13/2020,51
viverra pede,beauty,140.94,451,Nike,Mauv,31.12,error: Field 'length' not found,5/10/2011,52
dui,toys,676.36,373,Samsung,Indigo,37.53,error: Field 'length' not found,6/5/2019,53
a feugiat,sports,855.14,46,Nike,Teal,86.69,error: Field 'length' not found,7/22/2018,54
suscipit ligula,books,490.76,885,Samsung,Purple,67.69,error: Field 'length' not found,8/29/2018,55
lorem quisque,food,194.27,763,Samsung,Blue,52.88,error: Field 'length' not found,6/25/2011,56
mi,automotive,933.97,760,Nike,Crimson,37.33,error: Field 'length' not found,7/17/2020,57
in imperdiet,automotive,951.5,77,Nike,Purple,82.21,error: Field 'length' not found,9/6/2017,58
erat eros,sports,610.7,1000,Nike,Green,27.61,error: Field 'length' not found,10/7/2017,59
porta,toys,447.87,853,Apple,Maroon,66.19,error: Field 'length' not found,6/29/2013,60
ipsum,home decor,128.34,160,Samsung,Khaki,31.84,error: Field 'length' not found,12/14/2012,61
eget vulputate,toys,518.32,219,Samsung,Yellow,81.36,error: Field 'length' not found,12/29/2021,62
iaculis,health,352.66,437,Apple,Turquoise,68.13,error: Field 'length' not found,10/19/2021,63
quisque,beauty,171.52,116,Samsung,Crimson,72.38,error: Field 'length' not found,5/19/2013,64
quam,beauty,286.59,241,Samsung,Maroon,19.25,error: Field 'length' not found,2/9/2021,65
non,pets,533.92,355,Samsung,Turquoise,81.98,error: Field 'length' not found,7/6/2013,66
nam congue,toys,707.8,280,Nike,Aquamarine,27.84,error: Field 'length' not found,8/29/2016,67
ut,pets,390.02,52,Samsung,Orange,15.08,error: Field 'length' not found,7/14/2021,68
lectus,clothing,790.04,970,Apple,Crimson,64.41,error: Field 'length' not found,4/13/2010,69
interdum,electronics,854.38,782,Samsung,Red,9.92,error: Field 'length' not found,10/8/2015,70
tempus,health,483.94,795,Apple,Yellow,3.7,error: Field 'length' not found,3/27/2013,71
mollis molestie,food,487.12,773,Samsung,Aquamarine,30.77,error: Field 'length' not found,10/5/2017,72
magna bibendum,automotive,438.7,284,Apple,Blue,91.15,error: Field 'length' not found,8/21/2016,73
